Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
7cr/En1 $LTA (#F104),7cr/Sc1 $OST (#F218),7C/Re $CBE (#T126),7cuBLANK,7C/Hi $KBR (#F014),7C/Fr $JLU (#T114),7cuBLANK,7c/Dr1 $COS (#T115),7C/Ge $MFI (#T029),7cr/Ma1 $LBU (#J214),7C/Re $CBE (#T126),7cuBLANK,7cr/En1 $LTA (#F104),7C/Ac $SEL (#N101),7C/Ge $MFI (#T029),7cr/Ma1 $LBU (#J214),7cr/Sc1 $OST (#F218),7c/Te1 $CBR (#T213),7cuBLANK,7C/Fr $JLU (#T028),7C/Cp $GBR (#F019),7c/Pe1 $DHA (#T010),7c/Pe1 $DHA (#T010),7cr/Sc1 $OST (#F218),7C/Re $CBE (#T126),7cuBLANK,7cr/Ma1 $LBU (#J214),7cr/En1 $LTA (#F104),7cr/Sc1 $OST (#F218),7cr/En1 $LTA (#F104),7C/Fr $JLU (#F016),7C/Hi $KBR (#F014),7cuBLANK,7C/Ar $CBR (#T213),7cr/Ma1 $LBU (#J214)
7cr/En2 $JWA (#J107),7cr/Sc2 ($JTH) $SC1 (#F111),7A/Re $JUP (#J217),,7A/Ge $SCL (#T031),7A/Fr $PLA (#F016),,7c/Mu1 $CMA (#T120),7A/Re $JUP (#J217),7cr/Ma2 $EFR (#J224),7A/Ac $SEL (#N101),,7cr/En2 $JWA (#J107),7A/Fr $PLA (#F016),7A/Re $JUP (#J217),7cr/Ma2 $EFR (#J224),7cr/Sc2 $SGR ($JTH) $SC1 (#F111),7c/Te2 $JBR (#T027),,7A/Cp $GBR (#F019),7A/Hi $KBR (#F014),7c/Pe2 $SRE (#T010),7c/Pe2 $SRE (#T010),7cr/Sc2 ($JTH) $SC1 (#F111),7A/Ge $SCL (#T031),,7cr/Ma2 $EFR (#J224),7cr/En2 $JWA (#J107),7cr/Sc2 $SGR $SC1 (#F111),7cr/En2 $JWA (#J107),7A/Hi $KBR (#F014),7A/Ar $JBR (#T214),,7A/Fr $PLA (#F016),7cr/Ma2 $EFR (#J224)
7cr/En3 $KHA $DSU (#J106),7cr/Sc3 $SBA (#F217),,,,,,,,7cr/Ma3 $JAD (#J212),,,7cr/En3 $KHA $DSU (#J106),,,7cr/Ma3 $JAD (#J212),7cr/Sc3 $SBA (#F217),7c/Te3 $BST (#T005),,,,7c/Pe3 $DGR (#T008),7c/Pe3 $DGR (#T008),7cr/Sc3 $EAG $DSU (#F216),,,7cr/Ma3 $JAD (#J212),7cr/En3 $KHA $DSU (#J106),7cr/Sc3 $EAG (#T028),7cr/En3 $KHA $DSU (#J106),,,,,7cr/Ma3 $JAD (#J212)
7cr/En4 $ADI (#J105),7cr/Sc4 $RIN (#F216),7R/Fr $SDY (#F015),,7R/Hi $ARI (#F013),7r/Dr1 $COS (#T115),,7R/Fr $SDY (#F014),7r/Te1 $CBR (#T213),7cr/Ma4 $MYO (#J211),7R/Cp $GBR (#F019),,7cr/En4 $ADI (#J105),7R/Re $JTA (#J202),7R/Re $JTA (#J202),7cr/Ma4 $MYO (#J211),7cr/Sc4 $RIN (#F216),7R/Ge $MFI $DSU (#T029),,7r/Pe1 $SRE (#T008),7r/Pe1 $SRE (#T008),7R/Fr $SDY (#F104),7R/Re $JTA (#J202),7cr/Sc4 $RIN (#F102),7R/Ac $KHA $DSU (#N101),,7cr/Ma4 $MYO (#J211),7cr/En4 $ADI (#J105),7cr/Sc4 $RIN (#F216),7cr/En4 $ADI (#J105),7R/Ge $MFI (#T029),7R/Ar $CBR (#T213),,7R/Hi $ARI $DSU (#F014),7cr/Ma4 $MYO (#J211)
,,7P/Re $VAD (#J207),,7P/Sp $PLA (#F016),7r/Mu1 $CMA (#T120),,7P/Sp $PLA (#F016),7r/Te2 $JBR (#T027),,7P/Re $VAD (#J207),,,7P/Ge $MMO (#T028),7P/Re $VAD (#J207),,,7P/Hi $APA (#F013),,7r/Pe2 $DHA (#T010),7r/Pe2 $DHA (#T010),7P/Hi $APA (#F013),7P/Cp $GBR (#F019),,7P/Ar $JBR (#T213),,,,,,7P/Ge $MMO (#T028),7P/Sp $PLA (#F019),,7P/Ac $ADI (#J113),
,,,,,,,,7r/Te3 $BST (#T005),,,,,,,,,,,7r/Pe3 $NMC (#T010),7r/Pe3 $NMC (#T010),,,,,,,,,,,,,,
7dl/Sc1 $MHO (#F216),7dl/En1 $CFO (#F102),7dl/Te1 $CBR (#T213),,7N/Ar $CBR (#T213),7dl/Ma1 $SBE (#J220),,7dl/Ma1 $SBE (#J220),7N/Hi $AHO (#F015),7N/Fr $SBO (#F017),7dl/En1 $CFO (#F102),,7du/Pe1 $NMC (#T010),7du/Pe1 $NMC (#T010),7d/Dr1 $COS (#T115),7N/Re $JUP (#J217),7N/Ac $SEL (#N101),7dl/En1 $CFO (#F102),,7N/Fr $SBO (#F017),7dl/Sc1 $MHO (#F216),7N/Hi $AHO (#F015),7dl/Sc1 $MHO (#F109),7N/Ge $SCL (#T031),7N/Re $JUP (#J217),,7N/Cp $DSK (#F101),7dl/Ma1 $SBE (#J220),7N/Fr $SBO (#F017),7dl/Sc1 $MHO (#F216),7N/Ge $SCL (#T031),7dl/En1 $CFO (#F102),,7dl/Ma1 $SBE (#J220),7N/Re $JUP (#J217)
7dl/Sc2 $SBA (#F217),7dl/En2 $PMC (#T031),7dl/Te2 $JBR (#T027),,7D/Fr $SDY $GMC (#F015),7dl/Ma2 $LBU (#J214),,7dl/Ma2 $LBU (#J214),7D/Cp $GBR (#F019),7D/Ar $JBR (#T213),7dl/En2 $PMC (#T031),,7du/Pe2 $DHA (#T008),7du/Pe2 $DHA (#T008),7d/Mu1 $CMA (#T120),7D/Re $JTA (#J202),7D/Fr $SDY $GMC (#F014),7dl/En2 $PMC (#T031),,7D/Hi $ARI (#T114),7dl/Sc2 $SBA (#F110),7D/Ac $SEL (#N101),7dl/Sc2 $SBA (#F216),7D/Fr $SDY (#F015),7D/Re $JTA (#J202),,7D/Ge $SCL (#T031),7dl/Ma2 $LBU (#J214),7D/Ge $SCL (#T031),7dl/Sc2 $SBA (#F016),7D/Hi $ARI (#T114),7dl/En2 $PMC (#F015),,7dl/Ma2 $LBU (#J214),7D/Re $JTA (#J202)
7dl/Sc3 $RBI $MSZ (#F221),7dl/En3 $JWA (#J107),7dl/Te3 $BST (#T005),,,7dl/Ma3 $MMA (#J213),,7dl/Ma3 $MMA (#J213),,,7dl/En3 $JWA (#J107),,7du/Pe3 $SRE (#T010),7du/Pe3 $SRE (#T010),,,,7dl/En3 $JWA (#J107),,,7dl/Sc3 $RBI $MSZ (#F221),,7dl/Sc3 $RBI $MSZ (#F218),,,,,7dl/Ma3 $MMA (#J213),,7dl/Sc3 $MSZ (#F221),,7dl/En3 $JWA (#J107),,7dl/Ma3 $MMA (#J213),
,7dl/En4 $RBI $LTA (#F104),,,7L/Re $RBI $JUP (#J207),,,,7L/Ge $RBI $MMO (#T028),7L/Re $RBI $JUP (#J207),7dl/En4 $RBI $AHR (#F014),,7du/Pe4 $DGR (#T010),7du/Pe4 $DGR (#T010),7L/Ge $MMO (#T028),7L/Ac $RBI $SEL (#N101),7L/Sp $RBI $PLA (#F016),7dl/En4 $RBI $AHR (#F014),,7L/Sp $RBI $PLA (#F016),,7L/Sp $RBI $PLA (#F016),,7L/Ar $CBR (#T213),7L/Cp $RBI $GBR (#F019),,7L/Hi $RBI $ARI (#F015),,7L/Re $RBI $JUP (#J217),,7lu/Dr1 $COS $DSU (#T115),7dl/En4 $RBI $LTA (#F104),,,7L/Hi $RBI $ARI (#F014)
